compactness,circularity,distance_circularity,radius_ratio,pr_axis,max_length_aspect_ratio,scatter_ratio,elongatedness,pr_axis_rectangularity,max_length_rect,scaled_var_major_axis,scaled_var_minor_axis,scaled_radius_of_gyration,skewness_major_axis,skewness_minor_axis,kurtosis_minor_axis,kurtosis_major_axis,hollows_ratio,vehicle_name
96,45,101.0,201,66,9,192,34,22,143,218,552,195.0,73,3,19,189.0,197,saab
93,45,73.0,164,59,7,159,42,20,146,182,379,188.0,65,11,15,195.0,201,opel
89,42,85.0,144,58,10,152,44,19,144,173,345,161.0,72,8,13,187.0,197,van
93,40,62.0,117,49,7,131,52,18,145,160,249,156.0,78,8,6,184.0,184,van
98,46,77.0,199,71,7,166,39,20,150,184,422,180.0,69,13,9,200.0,203,bus
90,47,85.0,145,58,9,152,44,19,155,175,345,184.0,73,4,2,186.0,197,van
96,45,80.0,162,63,9,146,46,19,148,161,316,161.0,64,5,10,199.0,207,van
92,36,78.0,165,57,8,153,43,19,128,169,349,,60,4,19,203.0,211,saab
90,44,72.0,157,64,8,137,48,18,144,159,283,171.0,65,9,4,196.0,203,van
90,38,79.0,185,69,6,160,40,20,130,178,393,133.0,66,2,14,198.0,205,bus
90,48,78.0,143,60,11,161,43,20,159,172,374,186.0,75,2,2,184.0,193,van
89,42,66.0,125,53,7,131,51,18,144,162,254,162.0,73,10,17,188.0,191,van
97,46,94.0,209,67,10,195,34,22,147,224,573,194.0,70,0,14,188.0,197,opel
101,55,108.0,228,69,12,215,31,24,168,229,684,214.0,71,2,16,188.0,199,saab
108,54,103.0,212,65,11,208,32,24,162,228,648,240.0,71,9,0,189.0,197,saab
113,53,93.0,197,62,11,216,31,24,165,221,688,196.0,72,6,25,188.0,199,saab
88,40,69.0,146,59,7,130,51,18,134,147,252,144.0,64,1,1,193.0,200,opel
90,36,78.0,179,64,8,157,42,19,126,182,367,142.0,66,1,20,192.0,198,opel
87,44,98.0,211,70,10,189,35,22,141,214,535,178.0,71,2,21,187.0,194,opel
93,47,83.0,165,60,7,167,40,20,147,197,417,201.0,73,12,4,187.0,192,opel
97,55,104.0,219,71,9,211,32,24,171,222,658,223.0,74,1,24,186.0,196,saab
96,46,70.0,194,70,6,167,39,20,148,183,427,171.0,69,17,10,200.0,203,bus
86,43,70.0,126,56,6,148,46,19,145,166,317,171.0,86,6,9,179.0,182,bus
107,53,103.0,221,66,11,209,32,24,163,222,653,212.0,66,0,1,191.0,201,opel
82,40,73.0,141,57,8,153,44,19,133,173,342,153.0,75,11,9,181.0,187,opel
105,55,96.0,181,56,9,219,30,25,175,231,713,216.0,74,4,5,187.0,194,opel
80,43,68.0,123,53,7,150,46,19,147,169,327,176.0,81,7,14,179.0,184,bus
84,44,80.0,140,58,11,156,44,20,157,166,349,176.0,74,5,17,183.0,193,van
84,37,53.0,121,59,5,123,55,17,125,141,221,133.0,82,7,1,179.0,183,van
96,52,104.0,222,67,9,198,33,23,163,217,589,226.0,67,12,20,192.0,201,opel
98,42,90.0,192,61,9,178,37,21,144,189,480,138.0,61,3,8,199.0,208,saab
82,38,53.0,125,59,5,133,51,18,128,152,259,146.0,87,0,0,177.0,183,opel
83,46,73.0,137,59,6,148,45,19,146,167,327,,75,8,0,185.0,191,bus
87,40,81.0,162,68,10,146,46,19,139,167,317,157.0,70,0,13,189.0,199,van
94,49,87.0,159,64,10,157,43,20,158,179,363,203.0,75,4,0,183.0,194,van
81,43,68.0,148,64,7,150,45,19,144,175,330,171.0,80,1,2,182.0,185,bus
88,36,78.0,160,62,6,140,48,18,123,161,287,129.0,66,4,35,194.0,202,opel
97,45,76.0,175,60,9,157,42,20,149,180,370,169.0,63,16,12,198.0,206,saab
102,54,101.0,190,58,10,222,30,25,171,224,728,203.0,71,13,6,189.0,198,opel
91,36,83.0,162,61,8,142,47,19,128,163,298,137.0,63,0,31,193.0,200,saab
109,51,100.0,197,59,10,192,34,22,161,210,553,195.0,64,14,3,196.0,202,opel
110,46,100.0,197,61,9,193,34,22,149,209,561,160.0,65,11,7,194.0,203,saab
100,46,104.0,184,60,9,197,34,23,147,222,578,198.0,73,13,13,189.0,197,saab
89,47,83.0,169,61,8,164,40,20,150,189,402,190.0,72,7,10,187.0,193,saab
87,44,65.0,124,56,6,149,46,19,144,170,321,171.0,87,4,12,179.0,182,bus
97,47,87.0,164,64,9,156,43,20,149,173,359,182.0,68,1,13,192.0,202,van
86,37,60.0,115,54,5,119,56,17,132,141,209,129.0,72,2,8,186.0,190,van
103,57,105.0,221,69,11,218,30,24,173,226,706,250.0,73,10,2,187.0,195,opel
98,44,78.0,160,63,8,142,47,18,148,160,300,171.0,63,19,2,201.0,207,van
89,36,72.0,141,56,7,138,48,18,126,163,286,130.0,72,1,1,187.0,192,opel
78,43,70.0,147,65,8,147,46,19,145,169,319,168.0,77,1,12,181.0,186,bus
90,48,78.0,142,59,11,160,43,20,160,173,370,185.0,76,10,11,183.0,192,van
85,33,50.0,104,53,4,115,59,17,118,136,193,127.0,83,1,30,179.0,185,saab
84,47,75.0,153,64,6,154,43,19,145,175,354,184.0,75,0,3,185.0,192,bus
106,53,98.0,192,58,11,217,31,24,166,228,693,191.0,71,11,24,188.0,198,opel
97,59,108.0,227,70,11,224,30,25,186,225,732,218.0,70,10,25,186.0,198,opel
99,46,105.0,209,64,11,197,34,23,152,212,575,159.0,65,0,33,194.0,205,opel
82,45,68.0,150,69,5,148,45,19,144,169,322,184.0,80,5,0,181.0,184,bus
85,37,68.0,145,60,6,130,51,18,130,150,253,121.0,65,3,14,195.0,203,van
94,42,68.0,150,64,7,128,52,18,143,154,246,159.0,69,14,5,192.0,196,van
